Gene ID,Locus Tag,Gene Product Name,Genome ID,Genome Name,KO
637077734,mlr5638,autoinducer synthase,637000159,Mesorhizobium japonicum MAFF 303099,"KO:K18096===bjaI, rpaI, braI===acyl-homoserine lactone synthase [EC:2.3.1.228 2.3.1.229 2.3.1.-]"
637080478,mlr9546,autoinducer synthase,637000159,Mesorhizobium japonicum MAFF 303099,"KO:K18096===bjaI, rpaI, braI===acyl-homoserine lactone synthase [EC:2.3.1.228 2.3.1.229 2.3.1.-]"
637368614,blr1063,putative autoinducer synthase,637000038,Bradyrhizobium japonicum USDA 110,"KO:K18096===bjaI, rpaI, braI===acyl-homoserine lactone synthase [EC:2.3.1.228 2.3.1.229 2.3.1.-]"
637454945,CV4091,"N-acyl homoserine synthase; autoinducer synthase, quorum sensing controlled system",637000074,Chromobacterium violaceum ATCC 12472,"KO:K18096===bjaI, rpaI, braI===acyl-homoserine lactone synthase [EC:2.3.1.228 2.3.1.229 2.3.1.-]"
637473447,RPA0320,autoinducer (acylhomoserine lactone) synthase,637000239,Rhodopseudomonas palustris CGA009,"KO:K18096===bjaI, rpaI, braI===acyl-homoserine lactone synthase [EC:2.3.1.228 2.3.1.229 2.3.1.-]"
637712177,Nwi_0626,Autoinducer synthesis protein,637000193,Nitrobacter winogradskyi Nb-255,"KO:K18096===bjaI, rpaI, braI===acyl-homoserine lactone synthase [EC:2.3.1.228 2.3.1.229 2.3.1.-]"
637882303,RPB_0417,Autoinducer synthesis protein,637000240,Rhodopseudomonas palustris HaA2,"KO:K18096===bjaI, rpaI, braI===acyl-homoserine lactone synthase [EC:2.3.1.228 2.3.1.229 2.3.1.-]"
637885222,RPB_3320,Autoinducer synthesis protein,637000240,Rhodopseudomonas palustris HaA2,"KO:K18096===bjaI, rpaI, braI===acyl-homoserine lactone synthase [EC:2.3.1.228 2.3.1.229 2.3.1.-]"
637923817,RPC_0701,autoinducer synthesis protein,637000237,Rhodopseudomonas palustris BisB18,"KO:K18096===bjaI, rpaI, braI===acyl-homoserine lactone synthase [EC:2.3.1.228 2.3.1.229 2.3.1.-]"
637960588,RPD_0403,autoinducer (acylhomoserine lactone) synthase,637000238,Rhodopseudomonas palustris BisB5,"KO:K18096===bjaI, rpaI, braI===acyl-homoserine lactone synthase [EC:2.3.1.228 2.3.1.229 2.3.1.-]"
637962369,RPD_2175,autoinducer synthesis protein,637000238,Rhodopseudomonas palustris BisB5,"KO:K18096===bjaI, rpaI, braI===acyl-homoserine lactone synthase [EC:2.3.1.228 2.3.1.229 2.3.1.-]"
637964973,Nham_4466,autoinducer synthase,637000192,Nitrobacter hamburgensis X14,"KO:K18096===bjaI, rpaI, braI===acyl-homoserine lactone synthase [EC:2.3.1.228 2.3.1.229 2.3.1.-]"
637969462,Nham_0959,autoinducer synthesis protein,637000192,Nitrobacter hamburgensis X14,"KO:K18096===bjaI, rpaI, braI===acyl-homoserine lactone synthase [EC:2.3.1.228 2.3.1.229 2.3.1.-]"
638010904,Sala_2526,autoinducer synthesis protein,637000271,Sphingopyxis alaskensis RB2256,"KO:K13060===lasI, luxI===acyl homoserine lactone synthase [EC:2.3.1.184]<<>>KO:K18096===bjaI, rpaI, braI===acyl-homoserine lactone synthase [EC:2.3.1.228 2.3.1.229 2.3.1.-]"
638010966,Sala_2589,autoinducer synthesis protein,637000271,Sphingopyxis alaskensis RB2256,"KO:K13060===lasI, luxI===acyl homoserine lactone synthase [EC:2.3.1.184]<<>>KO:K18096===bjaI, rpaI, braI===acyl-homoserine lactone synthase [EC:2.3.1.228 2.3.1.229 2.3.1.-]"
638068205,Meso_2312,autoinducer synthesis protein,637000160,Chelativorans sp. BNC1,"KO:K18096===bjaI, rpaI, braI===acyl-homoserine lactone synthase [EC:2.3.1.228 2.3.1.229 2.3.1.-]"
638919815,NB311A_03299,Autoinducer synthesis protein,638341134,Nitrobacter sp. Nb-311A,"KO:K18096===bjaI, rpaI, braI===acyl-homoserine lactone synthase [EC:2.3.1.228 2.3.1.229 2.3.1.-]"
639160258,SKA58_16673,Autoinducer synthesis protein,638341199,Sphingomonas sp. SKA58,"KO:K18096===bjaI, rpaI, braI===acyl-homoserine lactone synthase [EC:2.3.1.228 2.3.1.229 2.3.1.-]"
639160529,SKA58_18515,Autoinducer synthesis protein,638341199,Sphingomonas sp. SKA58,"KO:K18096===bjaI, rpaI, braI===acyl-homoserine lactone synthase [EC:2.3.1.228 2.3.1.229 2.3.1.-]"
639319945,RPE_2323,autoinducer synthesis protein,639279312,Rhodopseudomonas palustris BisA53,"KO:K18096===bjaI, rpaI, braI===acyl-homoserine lactone synthase [EC:2.3.1.228 2.3.1.229 2.3.1.-]"
639650758,pRL100164,putative autoinducer synthesis protein,639633055,Rhizobium leguminosarum bv. viciae 3841,"KO:K18096===bjaI, rpaI, braI===acyl-homoserine lactone synthase [EC:2.3.1.228 2.3.1.229 2.3.1.-]"
640518688,BRADO0941,Putative autoinducer (acylhomoserine lactone) synthase,640427104,Bradyrhizobium sp. ORS278,"KO:K18096===bjaI, rpaI, braI===acyl-homoserine lactone synthase [EC:2.3.1.228 2.3.1.229 2.3.1.-]"
640561790,BBta_7113,Putative autoinducer (acylhomoserine lactone) synthase,640427103,Bradyrhizobium sp. BTAi1,"KO:K18096===bjaI, rpaI, braI===acyl-homoserine lactone synthase [EC:2.3.1.228 2.3.1.229 2.3.1.-]"
641211894,pHCG3_019,autoinducer synthetase protein SolI,641210353,Oligotropha carboxidovorans OM5 - DSM 1227 plasmid pHCG3,"KO:K18096===bjaI, rpaI, braI===acyl-homoserine lactone synthase [EC:2.3.1.228 2.3.1.229 2.3.1.-]"
641370306,Mext_4513,autoinducer synthesis protein,641228497,Methylorubrum extorquens PA1,"KO:K18096===bjaI, rpaI, braI===acyl-homoserine lactone synthase [EC:2.3.1.228 2.3.1.229 2.3.1.-]"
641629730,Mrad2831_4020,autoinducer synthesis protein,641522638,Methylobacterium radiotolerans JCM 2831,"KO:K18096===bjaI, rpaI, braI===acyl-homoserine lactone synthase [EC:2.3.1.228 2.3.1.229 2.3.1.-]"
641631469,Mrad2831_5763,autoinducer synthesis protein,641522638,Methylobacterium radiotolerans JCM 2831,"KO:K18096===bjaI, rpaI, braI===acyl-homoserine lactone synthase [EC:2.3.1.228 2.3.1.229 2.3.1.-]"
641645595,M446_5461,autoinducer synthesis protein,641522639,Methylobacterium sp. 4-46,"KO:K18096===bjaI, rpaI, braI===acyl-homoserine lactone synthase [EC:2.3.1.228 2.3.1.229 2.3.1.-]"
641650278,Mrad2831_6377,putative autoinducer synthesis protein,641522638,Methylobacterium radiotolerans JCM 2831,"KO:K18096===bjaI, rpaI, braI===acyl-homoserine lactone synthase [EC:2.3.1.228 2.3.1.229 2.3.1.-]"
641656877,Mrad2831_6407,putative autoinducer synthesis protein,641522638,Methylobacterium radiotolerans JCM 2831,"KO:K18096===bjaI, rpaI, braI===acyl-homoserine lactone synthase [EC:2.3.1.228 2.3.1.229 2.3.1.-]"
641706920,Bind_2974,autoinducer synthesis protein,641522606,Beijerinckia indica indica ATCC 9039,"KO:K18096===bjaI, rpaI, braI===acyl-homoserine lactone synthase [EC:2.3.1.228 2.3.1.229 2.3.1.-]"
642653709,Mpop_5028,autoinducer synthesis protein,642555139,Methylorubrum populi BJ001,"KO:K18096===bjaI, rpaI, braI===acyl-homoserine lactone synthase [EC:2.3.1.228 2.3.1.229 2.3.1.-]"
642710232,Rpal_0322,putative autoinducer (acylhomoserine lactone) synthase,642555153,Rhodopseudomonas palustris TIE-1,"KO:K18096===bjaI, rpaI, braI===acyl-homoserine lactone synthase [EC:2.3.1.228 2.3.1.229 2.3.1.-]"
642712213,Rpal_2331,autoinducer synthesis protein,642555153,Rhodopseudomonas palustris TIE-1,"KO:K18096===bjaI, rpaI, braI===acyl-homoserine lactone synthase [EC:2.3.1.228 2.3.1.229 2.3.1.-]"
642757559,PHZ_p0006,autoinducer(acylhomoserine lactone) synthesis protein,642555147,Phenylobacterium zucineum HLK1,"KO:K13060===lasI, luxI===acyl homoserine lactone synthase [EC:2.3.1.184]<<>>KO:K18096===bjaI, rpaI, braI===acyl-homoserine lactone synthase [EC:2.3.1.228 2.3.1.229 2.3.1.-]"
643527669,Mchl_4976,autoinducer synthesis protein,643348563,Methylorubrum chloromethanicum CM4,"KO:K18096===bjaI, rpaI, braI===acyl-homoserine lactone synthase [EC:2.3.1.228 2.3.1.229 2.3.1.-]"
643598064,Mnod_0283,autoinducer synthesis protein,643348564,Methylobacterium nodulans ORS 2060,"KO:K18096===bjaI, rpaI, braI===acyl-homoserine lactone synthase [EC:2.3.1.228 2.3.1.229 2.3.1.-]"
643599500,Mnod_1765,autoinducer synthesis protein,643348564,Methylobacterium nodulans ORS 2060,"KO:K18096===bjaI, rpaI, braI===acyl-homoserine lactone synthase [EC:2.3.1.228 2.3.1.229 2.3.1.-]"
643653318,Avi_9666,autoinducer (acylhomoserine lactone) synthase,643348505,Agrobacterium vitis bv. III S4,"KO:K18096===bjaI, rpaI, braI===acyl-homoserine lactone synthase [EC:2.3.1.228 2.3.1.229 2.3.1.-]"
643664312,Mnod_1002,,643348564,Methylobacterium nodulans ORS 2060,"KO:K18096===bjaI, rpaI, braI===acyl-homoserine lactone synthase [EC:2.3.1.228 2.3.1.229 2.3.1.-]"
644814890,MexAM1_META1p4961,MlaI; autoinducer (N-acylhomoserine lactone) synthase,644736386,Methylorubrum extorquens AM1,"KO:K18096===bjaI, rpaI, braI===acyl-homoserine lactone synthase [EC:2.3.1.228 2.3.1.229 2.3.1.-]"
644815928,MexAM1_META2p0693,N-acyl-L-homoserine lactone synthetase MsaI,644736386,Methylorubrum extorquens AM1,"KO:K18096===bjaI, rpaI, braI===acyl-homoserine lactone synthase [EC:2.3.1.228 2.3.1.229 2.3.1.-]"
644903786,Hbal_1825,N-acyl-L-homoserine lactone synthetase-like protein,644736375,Hirschia baltica ATCC 49814,"KO:K18096===bjaI, rpaI, braI===acyl-homoserine lactone synthase [EC:2.3.1.228 2.3.1.229 2.3.1.-]"
644914777,METDI5550,autoinducer (N-acylhomoserine lactone) synthase,644736387,Methylorubrum extorquens DM4,"KO:K18096===bjaI, rpaI, braI===acyl-homoserine lactone synthase [EC:2.3.1.228 2.3.1.229 2.3.1.-]"
646708885,SJA_C1-04710,N-acyl-L-homoserine lactone synthetase,646564570,Sphingobium japonicum UT26S,"KO:K18096===bjaI, rpaI, braI===acyl-homoserine lactone synthase [EC:2.3.1.228 2.3.1.229 2.3.1.-]"
646711453,SJA_C1-29990,N-acyl-L-homoserine lactone synthetase,646564570,Sphingobium japonicum UT26S,"KO:K18096===bjaI, rpaI, braI===acyl-homoserine lactone synthase [EC:2.3.1.228 2.3.1.229 2.3.1.-]"
646712069,SJA_P1-00810,conjugation factor synthetase TraI,646564570,Sphingobium japonicum UT26S,"KO:K18096===bjaI, rpaI, braI===acyl-homoserine lactone synthase [EC:2.3.1.228 2.3.1.229 2.3.1.-]"
647215307,CbatJ_010100014206,autoinducer synthesis protein,647000225,Citromicrobium bathyomarinum JL354,"KO:K13060===lasI, luxI===acyl homoserine lactone synthase [EC:2.3.1.184]<<>>KO:K18096===bjaI, rpaI, braI===acyl-homoserine lactone synthase [EC:2.3.1.228 2.3.1.229 2.3.1.-]"
649837631,Rpdx1_0306,autoinducer synthesis protein,649633091,Rhodopseudomonas palustris DX-1,"KO:K18096===bjaI, rpaI, braI===acyl-homoserine lactone synthase [EC:2.3.1.228 2.3.1.229 2.3.1.-]"
649839396,Rpdx1_2086,autoinducer synthesis protein,649633091,Rhodopseudomonas palustris DX-1,"KO:K18096===bjaI, rpaI, braI===acyl-homoserine lactone synthase [EC:2.3.1.228 2.3.1.229 2.3.1.-]"
649872428,Mesci_2559,autoinducer synthesis protein,649633066,Mesorhizobium ciceri bv. biserrulae WSM1271,"KO:K18096===bjaI, rpaI, braI===acyl-homoserine lactone synthase [EC:2.3.1.228 2.3.1.229 2.3.1.-]"
649875760,Mesci_5994,autoinducer synthesis protein,649633066,Mesorhizobium ciceri bv. biserrulae WSM1271,"KO:K18096===bjaI, rpaI, braI===acyl-homoserine lactone synthase [EC:2.3.1.228 2.3.1.229 2.3.1.-]"
650884350,PP1Y_Lpl262,autoinducer synthesis protein,650716068,Novosphingobium sp. PP1Y,"KO:K18096===bjaI, rpaI, braI===acyl-homoserine lactone synthase [EC:2.3.1.228 2.3.1.229 2.3.1.-]<<>>KO:K13060===lasI, luxI===acyl homoserine lactone synthase [EC:2.3.1.184]"
650886087,PP1Y_AT16460,autoinducer synthesis protein,650716068,Novosphingobium sp. PP1Y,"KO:K18096===bjaI, rpaI, braI===acyl-homoserine lactone synthase [EC:2.3.1.228 2.3.1.229 2.3.1.-]"
650887580,PP1Y_AT32567,acyl-homoserine lactone synthase,650716068,Novosphingobium sp. PP1Y,"KO:K18096===bjaI, rpaI, braI===acyl-homoserine lactone synthase [EC:2.3.1.228 2.3.1.229 2.3.1.-]"
651235418,OCA4_pHCG3B00170,autoinducer synthase protein SolI,651053055,Oligotropha carboxidovorans OM4,"KO:K18096===bjaI, rpaI, braI===acyl-homoserine lactone synthase [EC:2.3.1.228 2.3.1.229 2.3.1.-]"
651235653,OCA4_pOC167B01320,autoinducer synthase,651053055,Oligotropha carboxidovorans OM4,"KO:K18096===bjaI, rpaI, braI===acyl-homoserine lactone synthase [EC:2.3.1.228 2.3.1.229 2.3.1.-]"
2502380653,Phir38370,acyl-homoserine lactone synthase,2502376840,Prosthecomicrobium hirschii ATCC 27832,"KO:K18096===bjaI, rpaI, braI===acyl-homoserine lactone synthase [EC:2.3.1.228 2.3.1.229 2.3.1.-]"
