taxon_oid,Domain,Sequencing Status,Study Name,Genome Name / Sample Name,Sequencing Center,IMG Genome ID ,Genome Size   * assembled,Gene Count   * assembled
2926900373,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase IV (KMG-V): Genome sequencing to study the core and pangenomes of soil and plant-associated prokaryotes",Bradyrhizobium japonicum USDA 28,DOE Joint Genome Institute (JGI),2926900373,11101650,11446
2824723954,Bacteria,Permanent Draft,Evolution and phylogenomics of peanut bardyrhizobia,Bradyrhizobium sp. HAMBI 2152,"Institute of Biotechnology, Helsinki University",2824723954,8758240,9001
2648501853,Bacteria,Permanent Draft,Genome sequencing of bacterial strains isolated from animal farm,Chromobacterium violaceum GN5,University of Malaya,2648501853,4859554,4630
2551306370,Bacteria,Permanent Draft,Chelatococcus sp. GW1,Chelatococcus sp. GW1,Shanghai Jiao Tong University,2551306370,5207049,5038
2708742665,Bacteria,Permanent Draft,"Soil microbial communities from Rifle, Colorado, USA",Sphingomonadales bacterium GWF1_63_6,,2708742665,3345967,3753
2740892161,Bacteria,Permanent Draft,Genome sequencing of high-molecular-weight (HMW) dissolved organic matter (DOM) degraders,Erythrobacter sp. HI0077,Massachusetts Institute of Technology,2740892161,3062264,3263
2880518877,Bacteria,Permanent Draft,Plant growth-promoting bacteria from the rhizosphere of the beachgrass Ammophila breviligulata,Sphingobium sp. JAI105,DOE Joint Genome Institute (JGI),2880518877,5012590,4925
2839072118,Bacteria,Permanent Draft,Aurantiacibacter genome sequencing,Aurantiacibacter xanthus CCTCC AB 2015396,"Second Institute of Oceanography, State Oceanic Administration",2839072118,4380877,4309
2922469389,Bacteria,Permanent Draft,Genome sequencing of Sphingomonas spermidinifaciens 9NM-10,Sphingomonas spermidinifaciens 9NM-10,Guangdong Institute of Microbiology,2922469389,3635691,3564
2590828857,Bacteria,Permanent Draft,Plant associated metagenomes--Microbial community diversity and host control of community assembly across model and emerging plant ecological genomics systems.,Methylobacterium sp. 275MFSha3.1,DOE Joint Genome Institute (JGI),2590828857,6539402,6208
2643221863,Bacteria,Permanent Draft,Genome sequencing of Arabidopsis leaf and root microbiota representing the majority of bacterial species in their natural communities,Methylobacterium sp. Leaf91,Max Planck Institute for Plant Breeding Research,2643221863,5260378,5026
2889016732,Bacteria,Finished,Sequencing of a global collection of 1315 chickpea nodulating Mesorhizobium strains,Mesorhizobium sp. M2A.F.Ca.ET.043.02.1.1,"University of California, Davis",2889016732,6700763,6648
2703718759,Bacteria,Permanent Draft,"Genome sequencing of isolates from drinking water distribution system in Cincinnati, Ohio",Sphingopyxis sp. H115,US Environmental Protection Agency (EPA),2703718759,4492261,4360
2824841591,Bacteria,Permanent Draft,Understanding the reciprocal impacts of modified plant cell wall and associated microbiome,Rhizobium sp. BK181,DOE Joint Genome Institute (JGI),2824841591,6504632,6517
644736387,Bacteria,Finished,Methylobacterium extorquens DM4,Methylorubrum extorquens DM4,CEA Genoscope,644736387,6123851,5829
2881861095,Bacteria,Permanent Draft,Sequencing of a global collection of 1315 chickpea nodulating Mesorhizobium strains,Mesorhizobium sp. M4B.F.Ca.ET.049.02.1.2,"University of California, Davis",2881861095,7128710,7885
2887985739,Bacteria,Finished,Sphingobium sp. RSMS genome sequencing,Sphingobium sp. RSMS,Bhabha Atomic Research Centre,2887985739,5127759,4947
2927066479,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase IV (KMG-V): Genome sequencing to study the core and pangenomes of soil and plant-associated prokaryotes",Bradyrhizobium japonicum USDA 10,DOE Joint Genome Institute (JGI),2927066479,11536906,11753
2825032682,Bacteria,Permanent Draft,Understanding the reciprocal impacts of modified plant cell wall and associated microbiome,Novosphingobium sp. BK349,DOE Joint Genome Institute (JGI),2825032682,4894253,4448
2824679649,Bacteria,Finished,Evolution and phylogenomics of peanut bardyrhizobia,Bradyrhizobium sp.HAMBI 2116,"Institute of Biotechnology, Helsinki University",2824679649,8248951,8305
2786546860,Bacteria,Permanent Draft,Marinicaulis flavus SY-3-19 genome sequencing,Marinicaulis flavus SY-3-19,Zhejiang University,2786546860,4924481,4557
2654587501,Bacteria,Permanent Draft,Genome sequencing of HCH degrading microbes isolated from Czech soil,Sphingobium czechense LL01,Commonwealth Scientific and Industrial Research Organisation (CSIRO),2654587501,4655494,4633
2861299436,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase IV (KMG-IV): sequencing the most valuable type-strain genomes for metagenomic binning, comparative biology and taxonomic classification",Aminobacter sp. DSM 101952,DOE Joint Genome Institute (JGI),2861299436,5233617,5218
2833469481,Bacteria,Permanent Draft,"Drinking water biofilms microbial communities from hospital in Ohio, USA",Blastomonas sp. CCH2-A2,"Georgia Institute of Technology, U.S. Environmental Protection Agency",2833469481,4252075,4358
2906341760,Bacteria,Permanent Draft,Mesorhizobia in Australia,Mesorhizobium sp. B3-1-8,Curtin University,2906341760,6831577,6758
2516653016,Bacteria,Permanent Draft,Rhodopseudomonas palustris sequencing - Univ of Washington,Rhodopseudomonas palustris KD1,University of Washington,2516653016,5553564,5617
642555147,Bacteria,Finished,Phenylobacterium zucineum HLK1,Phenylobacterium zucineum HLK1,Beijing Genomics Institute (BGI),642555147,4379231,3899
2837678835,Bacteria,Permanent Draft,Jiella sp. CBS5Q-3 genome sequencing,Jiella endophytica CBS5Q-3,Affliated Hospital of Zunyi Medical College,2837678835,5252418,4926
2903506739,Bacteria,Permanent Draft,Mesorhizobia in Australia,Mesorhizobium sp. B2-8-9,Curtin University,2903506739,6795833,6767
2855904490,Bacteria,Permanent Draft,Novosphingobium sp. Chol11 genome sequencing,Novosphingobium sp. Chol11,"Center for Biotechnology (CeBiTec), Bielefeld Univeristy",2855904490,3711414,3659
2857429247,Bacteria,Permanent Draft,Standard draft genome sequeces of bacteria from Yellowstone Lake,Methylobacterium sp. YL-MPn6-2016,DOE Joint Genome Institute (JGI),2857429247,6858912,6636
2846011027,Bacteria,Permanent Draft,Chromobacterium violaceum LMG 3953 genome sequencing,Chromobacterium pseudoviolaceum LMG 3953,Midwestern University,2846011027,4629225,4592
2879091575,Bacteria,Permanent Draft,"Drinking water biofilms microbial communities from hospital in Ohio, USA",Bradyrhizobium sp. CCH5-F6,"Georgia Institute of Technology, U.S. Environmental Protection Agency",2879091575,8163151,7988
2885312484,Bacteria,Finished,Sequencing of a global collection of 1315 chickpea nodulating Mesorhizobium strains,Mesorhizobium sp. M9A.F.Ca.ET.002.03.1.2,"University of California, Davis",2885312484,6415165,6379
2823710873,Bacteria,Permanent Draft,Multi-cycle Selection of Sorghum Microbiomes for Biological Nitrogen Fixation,Novosphingobium sp. SG486,DOE Joint Genome Institute (JGI),2823710873,4764496,4392
2882187932,Bacteria,Permanent Draft,Unclassified alpha proteobacterium U9-1i genome sequencing,Unclassified alpha proteobacterium U9-1i,Akita Prefectural University,2882187932,4053247,4209
2841760612,Bacteria,Finished,Genome sequencing and assembly of relic peas symbionts,Bosea sp. Tri-49,All-Russia Research Institute for Agricultural Microbiology,2841760612,6454112,6357
2643221591,Bacteria,Permanent Draft,Genome sequencing of Arabidopsis leaf and root microbiota representing the majority of bacterial species in their natural communities,Devosia sp. Root685,Max Planck Institute for Plant Breeding Research,2643221591,4397626,4176
2791355258,Bacteria,Permanent Draft,Rhizobium laguerreae FB206 genome sequencing,Rhizobium laguerreae FB206,"Chinese Academy of Sciences, Northeast Institute of Geography and Agroecology",2791355258,7323210,7188
2516653022,Bacteria,Permanent Draft,Rhodopseudomonas palustris sequencing - Univ of Washington,Rhodopseudomonas palustris RSP24,University of Washington,2516653022,5453366,5525
2851246043,Bacteria,Permanent Draft,Genome sequencing and assembly of relic peas symbionts,Bosea sp. Tri-54,All-Russia Research Institute for Agricultural Microbiology,2851246043,6439203,6345
2568526531,Bacteria,Permanent Draft,Sphingobium sp. Ant17,Sphingobium sp. Ant17,University of Pretoria,2568526531,5238558,4262
2516653019,Bacteria,Permanent Draft,Rhodopseudomonas palustris sequencing - Univ of Washington,Rhodopseudomonas palustris P4,University of Washington,2516653019,5449824,5703
2513237102,Bacteria,Permanent Draft,GEBA - Root Nodulating Bacteria,Bradyrhizobium japonicum USDA 135,DOE Joint Genome Institute (JGI),2513237102,7703324,7923
2824617872,Bacteria,Permanent Draft,Evolution and phylogenomics of peanut bardyrhizobia,Bradyrhizobium sp. HAMBI 2133,"Institute of Biotechnology, Helsinki University",2824617872,8814715,8687
2848674377,Bacteria,Permanent Draft,"Drinking water biofilms microbial communities from hospital in Ohio, USA",Porphyrobacter donghaensis CCH7-E3,"Georgia Institute of Technology, U.S. Environmental Protection Agency",2848674377,3754710,3865
2906378014,Bacteria,Permanent Draft,Sequencing of a global collection of 1315 chickpea nodulating Mesorhizobium strains,Mesorhizobium sp. M7D.F.Ca.US.004.03.1.1,"University of California, Davis",2906378014,6911440,8486
2911160440,Bacteria,Permanent Draft,Genome Sequencing of Microvirga sp. BT688,Microvirga sp. BT688,Seoul Women's University,2911160440,6623199,6841
2825085391,Bacteria,Permanent Draft,Understanding the reciprocal impacts of modified plant cell wall and associated microbiome,Rhizobium sp. BK399,DOE Joint Genome Institute (JGI),2825085391,6428707,6416
2718217637,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase III (KMG-III): the genomes of soil and plant-associated and newly described type strains",Fulvimarina manganoxydans CGMCC 1.10972,DOE Joint Genome Institute (JGI),2718217637,4827577,4533
2643221871,Bacteria,Permanent Draft,Genome sequencing of Arabidopsis leaf and root microbiota representing the majority of bacterial species in their natural communities,Methylobacterium sp. Leaf111,Max Planck Institute for Plant Breeding Research,2643221871,5166228,4902
2927289102,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase IV (KMG-V): Genome sequencing to study the core and pangenomes of soil and plant-associated prokaryotes",Bradyrhizobium japonicum USDA 38,DOE Joint Genome Institute (JGI),2927289102,9740125,9599
